Reviewer,Name,URL,Complete Instructions,Comments,Setup Speed,Comments,Cost,Comments,Privacy,Comments,Theft Prevention,Comments,Loss Prevention,Comments,Safe Setup,Comments,Inheritance Safety,Comments,Spend Speed,Comments,Easy to Setup / Great UX
JW Weatherman,"2 of 3 with Blue Wallet, Cobo and Cold Card",https://www.youtube.com/watch?v=E1qcYkSerko,4,"Good video, but needs a step by step guide either in app or in a document.",3 hours,"Requires buying 2 hardware wallets, installing on a phone and installing on a laptop. Video itself is 30 minutes.",$400,Each device is about $170 before shipping and taxes.,1,Not using your own node and used your home address to buy bitcoin hardware.,1,"Supply chain attacks, malicious updates and malware infested computer.",1,"It is multisig and it does tell you to backup your seed words, but it doesn't tell you to store your seed with your hardware wallet so I'm not confident.",1,Does not walk the user through a reasonably safe laptop setup.,2,"It is a reasonable 2 of 3, but does not use bitcoin core or specify safe locations for family recovery.",10 minutes,Requires 2 devices to sign so a little slower than a single hardware wallet.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Caravan 3 of 5,https://medium.com/@SahilC0/how-to-store-bitcoin-cold-storage-adc8cac0feb8,2,Not a complete step by step guide. More of a bulleted list of best practices and often a list of possible best practices for the user to consider and decide for themselves.,3 hours,Includes time required to obtain 5 hardware wallets (assuming you use a 3 of 5 and this is assumed in the list of equipment required),$700,"2 Cold Card, 2 Trezor, 1 Ledger, ",1,Does not use a full node and does not step the user through setting up a secure laptop so it should be assumed it has malware calling home.,1,"Although it uses 3 vendors hardware wallets collusion between two ""logos"" of companies that are small is not a great assurance they won't collude. Supply chain attacks are only partly mitigated. Ultimately the malware infected laptop puts this at the lowest level of theft prevention.",4,"While you can only lose 2 keys the guide does tell users to make sure they are geogrpahically distributed. It isn't clear that the user should store their backup paper with the corresponding hardware wallet, but assuming this is done it isn't likely the end user would lose their funds after setup.",1,Not detailed enough for a non-technical user to do the things required such as installing security patches and verifying downloads.,2,"It is a reasonable 2 of 3, but does not use bitcoin core or specify safe locations for family recovery.",10 minutes,Requires 2 devices to sign so a little slower than a single hardware wallet.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,2 of 3 with Blue Wallet only,https://www.youtube.com/watch?v=V7hzuerITOM&feature=emb_title,2,It is a very short demo video.,30 minutes,"3 devices, but the setup is pretty slick.",Free,,2,"Not using your own node, but all generic hardware.",2,"Malicous updates, but no physical supply chain attacks and it is 2 of 3 multisig.",1,"It is multisig and it does tell you to backup your seed words, but it doesn't tell you to store your seed words geographically distributed.",4,Very clean setup process without a malware laptop.,2,"It is a reasonable 2 of 3, but does not use bitcoin core or specify safe locations for family recovery.",10 minutes,Requires 2 devices to sign so a little slower than a single hardware wallet.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Unchained Capital 2 of 3 Custodial,https://www.youtube.com/watch?v=cOZfTP2z-IY,2,"No instructions on how to interact with your hardware wallets, but two are assumed.",2 hours,Requires buying a hardware device.,$450,Two hardware wallets and if you need unchained to sign they charge you $20.,1,Not using your own node and used your home address to buy bitcoin hardware and requires an account with unchained capital and they hold 1 key so they can see your balance and have your identity.,1,"Supply chain attacks, malicious updates and malware infested computer.",1,"It is multisig and it does tell you to backup your seed words, but it doesn't tell you to store your seed with your hardware wallet so I'm not confident.",1,Malware infested laptop involved in default setup and loss prevention and theft prevention are very low even after setup.,2,"It is a reasonable 2 of 3, but does not use bitcoin core or specify safe locations for family recovery.",10 minutes,Requires 2 devices to sign so a little slower than a single hardware wallet.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,"Cold Card, Bitcoin Core and Specter",WeRunBitcoin.com,1,"This is a more complete guide to using cold card than the cold card quickstart guide, but many steps can't be followed by non-technical users. For example step 22d is ""download signed hashes from github."" I don't think a non-tech user has a reasonable chance of doing this so I assume this guide is intended for more technical people.",5 hours,"You install bitcoin core, roll dice and aquire cold cold at a conference or you need to find someone that is willing to accept a package for you with a false name.",$200,About $179 before shipping and taxes to buy a cold card.,3,You use a bitcoin core full node and you have the hardware shipped to a false name with a false address. Unfortunately someone that accepts a package with a false name probably will know that it is for bitcoin. And buying in person will also probably reveal your identity to a small number of people along with the fact that you are spending significant time and money to secure your bitcoin.,1,You use a malware infested laptop. Single signature makes theft of one seed mean theft of all bitcoins. Although it mentions that it is best practice to setup a dedicated device it is not part of the setup instructions so I assume most users of the guide will not do it.,1,"Single signature without any instructions to destribute backups geographically. Does mention using a steel seed storage device in the link and does mention using a second cold card, but neither are part of the setup instructions.",1,Malware infested laptop. Although it mentions that it is best practice to setup a dedicated device it is not part of the setup instructions so I assume most users of the guide will not do it.,1,Dependency outside bitcoin core for recovery and only a single seed without specifying family safe locations.,5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Casa Hodl Gold 2 of 3,https://keys.casa/,5,Very easy setup.,2 hours,Requires buying a hardware device.,$560,Assumes Cobo or Cold card $170 before shipping and taxes. Trezor is $70. Also $360 for 3 years for their monthly service.,1,Not using your own node and used your home address to buy bitcoin hardware and requires an account with Casa and they hold 1+ key so they can see your balance and have your identity.,1,Casa holds one key and another key is held in their closed source app so they have full control of your bitcoin. You only hold 1 key in a hardware wallet.,1,Seedless and if the company ends you will only have 1 key that you can use without access to closed source software.,1,Malware infested laptop involved in default setup and loss prevention and theft prevention are very low even after setup.,2,Dependency outside bitcoin core. It is a 2 of 3.,10 minutes,Requires 2 devices to sign so a little slower than a single hardware wallet.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Coinbase,coinbase.com,5,,Instant,When you buy with a custodian there is no additional setup time.,Free,,2,"It's not great for privacy, but it is worse when you use the node of a less reputable company or a randomly selected node as with electrum. OTOH they have more than your IP address so it is still not great.",1,Custodians are trusted third parties that can steal your bitcoin.,3,Because they use your identify it isn't as easy to lose your bitcoin.,5,Setup is very easy and it would be very hard to lose your bitcoin in setup.,4,Established policies apply as long as the existence of your account or your bank transactions (available to your family) is known to your family.,2 minutes,"Very easy to send, but not as easy as a phone app with nothing more than a pin.","Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Casa Hodl Platinum and Diamond,https://docs.keys.casa/wealth-security-protocol/chosen-key-schemes/3-of-5-key-shield,5,Casa walks you through the process.,3 hours,This involves 2 hardware devices and a total of 4 applications and you need to interact with Casa to hold a key so I'm guessing 3 hours is about right.,"$5,640",This is for the cheaper 3 of 5 product (platinum) that costs 150 per month. I'm assuming 36 months.,1,Not using your own node and used your home address to buy bitcoin hardware and requires an account with Casa and they hold 1+ key so they can see your balance and have your identity.,1,"You do not have control of the majority of your bitcoin keys. 1 is held directly by Casa. 1 is held by the ios closed source app. 1 is held by the android closed source app. The remain 2 keys are in your possesion in hardware wallets, but even then you are trained to obey Casa support staff.",1,Seedless and if the company ends you will only have 2 keys that you can use without access to closed source software.,1,Malware infested laptop involved in default setup and loss prevention and theft prevention are very low even after setup.,1,Dependency outside bitcoin core for recovery and only a single seed without specifying family safe locations.,1 hour,"I'm assuming their instructions do have you store your keys geographically distributed, but this might be overly generous.","Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,10x Security Bitcoin Guide by Michael Flaxman,https://btcguide.github.io/,3,"It offers the users a lot of ""forks in the road"" so it is difficult to review it, but I am going to review what I think the majority of users will do given the tradeoffs presented in the UI.",3 hours,"Involves 2 hardware devices, bitcoin core, specter.",$240.00,Assumes a Cold Card and a Trezor,2,Users are not warned that using their daily driver is a very bad idea when privacy or larger amounts are involved so even though it is bitcoin core this is bad.,2,"Malware infested laptop, but it is multisig and uses bitcoin core.",2,"Malware infested laptop, but it is multisig and uses bitcoin core and I do not believe it is seedless.",2,"Malware infested laptop, but it is multisig and uses bitcoin core. I'm assuming there is a step that involves verifying your recorded seeds.",2,This is only a 2 of 3. 2 keys hard to find and/or misplaced and your family isn't getting your bitcoin.,1 hour,I'm assuming their instructions do have you store your keys geographically distributed.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Wasabi Wallet,https://wasabiwallet.io/#,5,Immediate download of executable. Very nice immediate UX.,15 minutes,,Free*,,1,"Although the on chain privacy might be great, users that install a wallet on a malware infected laptop have the worst possible privacy.",1,,1,,1,Malware on laptop makes setup unsafe.,1,"It is single sig and only a single backup, but it is not intended for storing large amounts - it is intended to mix coins before putting into a longer term storage.",5 minutes,,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
